sweep_id,direction,side,swept_swing_level,swing_index,swing_time,swing_confirm_time,breach_time,breach_index,breach_extreme,breach_distance_atr,rejection_close_time,rejection_index,rejection_close_price,bars_breach_to_rejection,frozen_atr,session,year,segment_id
388,bearish,buy_side,1225.366000,35490,2017-07-04 01:00:00,2017-07-04 03:30:00,2017-07-04 05:45:00,35509,1226.355000,1.138370,2017-07-04 06:00:00,35510,1224.692000,1,0.868786,asian,2017,389
389,bullish,sell_side,1223.783000,35524,2017-07-04 09:30:00,2017-07-04 12:00:00,2017-07-04 13:45:00,35541,1222.798000,1.365955,2017-07-04 14:15:00,35543,1223.995000,2,0.721107,ny_overlap,2017,389
390,bearish,buy_side,1223.321500,35609,2017-07-05 11:30:00,2017-07-05 14:00:00,2017-07-05 14:30:00,35621,1224.440500,0.657655,2017-07-05 14:45:00,35622,1222.083500,1,1.701500,ny_overlap,2017,390
391,bearish,buy_side,1224.440500,35621,2017-07-05 14:30:00,2017-07-05 17:00:00,2017-07-05 18:15:00,35636,1225.480000,0.821322,2017-07-05 18:30:00,35637,1220.544000,1,1.265643,off_session,2017,390
392,bullish,sell_side,1223.980000,35664,2017-07-06 02:15:00,2017-07-06 04:45:00,2017-07-06 07:30:00,35685,1223.610000,0.430286,2017-07-06 08:00:00,35687,1224.400000,2,0.859893,london,2017,391
393,bullish,sell_side,1223.238000,35686,2017-07-06 07:45:00,2017-07-06 10:15:00,2017-07-06 11:30:00,35701,1222.983500,0.298284,2017-07-06 11:45:00,35702,1224.227000,1,0.853214,london,2017,391
394,bearish,buy_side,1222.636500,35775,2017-07-07 07:00:00,2017-07-07 09:30:00,2017-07-07 11:45:00,35794,1223.821000,1.851815,2017-07-07 12:00:00,35795,1222.600000,1,0.639643,ny_overlap,2017,392
395,bullish,sell_side,1219.924500,35770,2017-07-07 05:45:00,2017-07-07 08:15:00,2017-07-07 12:45:00,35798,1217.931000,1.284915,2017-07-07 13:00:00,35799,1221.118500,1,1.551464,ny_overlap,2017,392
396,bullish,sell_side,1209.588500,35960,2017-07-11 07:15:00,2017-07-11 09:45:00,2017-07-11 10:45:00,35974,1209.223000,0.453554,2017-07-11 11:00:00,35975,1210.258000,1,0.805857,london,2017,394
397,bearish,buy_side,1212.608000,35957,2017-07-11 06:30:00,2017-07-11 09:00:00,2017-07-11 13:00:00,35983,1212.951500,0.365564,2017-07-11 13:15:00,35984,1211.868500,1,0.939643,ny_overlap,2017,394
398,bullish,sell_side,1209.223000,35974,2017-07-11 10:45:00,2017-07-11 13:15:00,2017-07-11 14:30:00,35989,1208.296500,0.833960,2017-07-11 15:15:00,35992,1210.793500,3,1.110964,ny_overlap,2017,394
399,bullish,sell_side,1217.651500,36051,2017-07-12 07:00:00,2017-07-12 09:30:00,2017-07-12 10:45:00,36066,1216.843500,1.045085,2017-07-12 11:15:00,36068,1217.769500,2,0.773143,london,2017,395
400,bearish,buy_side,1238.337000,36403,2017-07-18 03:00:00,2017-07-18 05:30:00,2017-07-18 05:45:00,36414,1238.926000,1.002005,2017-07-18 06:00:00,36415,1237.865000,1,0.587821,asian,2017,399
401,bearish,buy_side,1244.346500,36456,2017-07-18 16:15:00,2017-07-18 18:45:00,2017-07-18 19:00:00,36467,1244.636000,0.303550,2017-07-18 19:15:00,36468,1243.133500,1,0.953714,off_session,2017,399
402,bullish,sell_side,1240.706500,36491,2017-07-19 02:00:00,2017-07-19 04:30:00,2017-07-19 05:45:00,36506,1239.239000,2.685445,2017-07-19 06:15:00,36508,1240.950000,2,0.546464,asian,2017,400
403,bearish,buy_side,1243.538500,36486,2017-07-19 00:45:00,2017-07-19 03:15:00,2017-07-19 13:00:00,36535,1244.108000,0.590527,2017-07-19 13:15:00,36536,1242.395000,1,0.964393,ny_overlap,2017,400
404,bullish,sell_side,1237.636000,36592,2017-07-20 04:15:00,2017-07-20 06:45:00,2017-07-20 07:45:00,36606,1236.638500,1.306789,2017-07-20 08:30:00,36609,1237.823000,3,0.763321,london,2017,401
405,bullish,sell_side,1236.638500,36606,2017-07-20 07:45:00,2017-07-20 10:15:00,2017-07-20 11:15:00,36620,1236.403500,0.333621,2017-07-20 12:00:00,36623,1237.550000,3,0.704393,ny_overlap,2017,401
406,bearish,buy_side,1257.980000,36797,2017-07-24 09:30:00,2017-07-24 12:00:00,2017-07-24 12:45:00,36810,1258.426000,0.406643,2017-07-24 13:15:00,36812,1257.211500,2,1.096786,ny_overlap,2017,403
407,bearish,buy_side,1264.970000,37050,2017-07-27 03:45:00,2017-07-27 06:15:00,2017-07-27 12:45:00,37086,1265.335000,0.299461,2017-07-27 13:00:00,37087,1263.511500,1,1.218857,ny_overlap,2017,406
408,bearish,buy_side,1270.475500,37190,2017-07-28 15:45:00,2017-07-28 18:15:00,2017-07-28 19:00:00,37203,1270.931500,0.502915,2017-07-28 19:15:00,37204,1270.108500,1,0.906714,off_session,2017,407
409,bearish,buy_side,1269.415500,37246,2017-07-31 06:45:00,2017-07-31 09:15:00,2017-07-31 15:00:00,37279,1269.762000,0.288218,2017-07-31 15:15:00,37280,1268.878500,1,1.202214,ny_overlap,2017,408
410,bearish,buy_side,1269.888500,37280,2017-07-31 15:15:00,2017-07-31 17:45:00,2017-07-31 19:15:00,37296,1270.353000,0.561015,2017-07-31 19:30:00,37297,1269.488000,1,0.827964,off_session,2017,408
411,bearish,buy_side,1267.832000,37432,2017-08-02 07:15:00,2017-08-02 09:45:00,2017-08-02 12:30:00,37453,1268.573000,0.792695,2017-08-02 12:45:00,37454,1265.500500,1,0.934786,ny_overlap,2017,410
412,bullish,sell_side,1264.241000,37423,2017-08-02 05:00:00,2017-08-02 07:30:00,2017-08-02 13:00:00,37455,1262.955000,1.023391,2017-08-02 13:15:00,37456,1266.586500,1,1.256607,ny_overlap,2017,410
413,bearish,buy_side,1263.399000,37522,2017-08-03 06:45:00,2017-08-03 09:15:00,2017-08-03 10:15:00,37536,1263.696500,0.283874,2017-08-03 10:30:00,37537,1263.105000,1,1.048000,london,2017,411
414,bearish,buy_side,1269.803000,37559,2017-08-03 16:00:00,2017-08-03 18:30:00,2017-08-03 19:45:00,37574,1270.915500,1.039477,2017-08-03 20:00:00,37575,1268.566500,1,1.070250,off_session,2017,411
415,bearish,buy_side,1258.660000,37710,2017-08-07 07:45:00,2017-08-07 10:15:00,2017-08-07 14:45:00,37738,1259.055000,0.321558,2017-08-07 15:00:00,37739,1257.986500,1,1.228393,ny_overlap,2017,413
