zone_id,direction,zone_high,zone_low,zone_creation_time,frozen_atr,displacement_atr,bos_swing_level,fvg_present,session,year,ob_candle_time,ob_candle_open,ob_candle_high,ob_candle_low,ob_candle_close,ob_candle_index,impulse_start_time,impulse_end_time,impulse_start_index,impulse_end_index,impulse_extreme,segment_id,touched,touch_time,bars_to_touch,success,bars_to_success,baseline_count,baseline_successes,baseline_success_rate,under_matched
653,bearish,1285.855000,1284.541000,2017-06-08 11:45:00,1.081750,3.700485,1283.729500,False,london,2017,2017-06-08 11:15:00,1284.618500,1285.855000,1284.541000,1284.837000,33876,2017-06-08 11:30:00,2017-06-08 11:45:00,33877,33877,1281.852000,371,True,2017-08-10 12:30:00,4129,False,,5,2,0.400000,False
654,bearish,1275.729000,1275.055000,2017-06-09 06:15:00,0.844036,3.006982,1273.281500,True,asian,2017,2017-06-09 05:15:00,1275.245000,1275.729000,1275.055000,1275.316500,33944,2017-06-09 05:30:00,2017-06-09 06:15:00,33945,33947,1273.191000,372,True,2017-06-09 06:15:00,1,True,1,5,5,1.000000,False
655,bearish,1273.942000,1272.456000,2017-06-09 12:45:00,1.062964,3.414978,1271.394000,False,ny_overlap,2017,2017-06-09 12:15:00,1272.585000,1273.942000,1272.456000,1273.853000,33972,2017-06-09 12:30:00,2017-06-09 12:45:00,33973,33973,1270.312000,372,True,2017-06-14 12:30:00,276,False,,5,5,1.000000,False
656,bearish,1267.547000,1266.815000,2017-06-12 07:00:00,0.635143,2.265632,1266.541000,False,london,2017,2017-06-12 06:30:00,1267.232000,1267.547000,1266.815000,1267.251500,34041,2017-06-12 06:45:00,2017-06-12 07:00:00,34042,34042,1266.108000,373,True,2017-06-12 07:00:00,1,False,,5,5,1.000000,False
657,bullish,1267.573500,1267.105000,2017-06-12 08:30:00,0.895786,2.588231,1267.898500,False,london,2017,2017-06-12 07:45:00,1267.473500,1267.573500,1267.105000,1267.125500,34046,2017-06-12 08:00:00,2017-06-12 08:30:00,34047,34048,1269.423500,373,True,2017-06-12 12:15:00,16,False,,2,2,1.000000,True
658,bearish,1269.965000,1268.756500,2017-06-12 13:00:00,1.037679,5.714197,1265.631500,True,ny_overlap,2017,2017-06-12 11:15:00,1269.269000,1269.965000,1268.756500,1269.562000,34060,2017-06-12 11:30:00,2017-06-12 13:00:00,34061,34066,1264.035500,373,True,2017-06-13 18:00:00,113,True,2,5,5,1.000000,False
659,bearish,1265.225500,1264.638500,2017-06-13 08:30:00,0.771964,3.719084,1262.783500,False,london,2017,2017-06-13 07:15:00,1264.638500,1265.225500,1264.638500,1264.839000,34136,2017-06-13 07:30:00,2017-06-13 08:30:00,34137,34140,1262.354500,374,True,2017-06-13 14:45:00,26,True,1,5,2,0.400000,False
660,bearish,1264.481000,1263.444000,2017-06-13 12:45:00,0.874643,4.126827,1261.738500,False,ny_overlap,2017,2017-06-13 11:45:00,1263.898500,1264.481000,1263.444000,1264.185000,34154,2017-06-13 12:00:00,2017-06-13 12:45:00,34155,34157,1260.871500,374,True,2017-06-13 14:30:00,8,False,,5,5,1.000000,False
661,bullish,1261.318500,1259.398000,2017-06-13 15:00:00,1.343000,4.406925,1264.481000,True,ny_overlap,2017,2017-06-13 13:00:00,1261.005500,1261.318500,1259.398000,1260.723500,34159,2017-06-13 13:15:00,2017-06-13 15:00:00,34160,34166,1265.316500,374,True,2017-06-14 19:15:00,110,False,,5,2,0.400000,False
662,bearish,1268.311500,1267.586500,2017-06-14 11:15:00,0.852857,2.149246,1266.628500,False,london,2017,2017-06-14 10:30:00,1267.799500,1268.311500,1267.586500,1268.206500,34241,2017-06-14 10:45:00,2017-06-14 11:15:00,34242,34243,1266.478500,375,True,2017-06-14 12:30:00,6,False,,5,5,1.000000,False
663,bullish,1266.460000,1265.441500,2017-06-14 12:45:00,1.549500,5.681510,1269.004000,False,ny_overlap,2017,2017-06-14 12:00:00,1266.305000,1266.460000,1265.441500,1265.444500,34247,2017-06-14 12:15:00,2017-06-14 12:45:00,34248,34249,1274.245000,375,True,2017-06-14 18:30:00,24,False,,5,2,0.400000,False
664,bullish,1275.719000,1273.896500,2017-06-14 18:15:00,1.905500,3.847284,1279.565500,True,off_session,2017,2017-06-14 17:00:00,1275.718500,1275.719000,1273.896500,1273.906500,34267,2017-06-14 17:15:00,2017-06-14 18:15:00,34268,34271,1281.227500,375,True,2017-08-01 14:15:00,3098,False,,5,5,1.000000,False
665,bearish,1276.593500,1274.943500,2017-06-14 19:15:00,2.910571,5.178536,1264.914500,True,off_session,2017,2017-06-14 17:45:00,1275.074500,1276.593500,1274.943500,1275.591000,34270,2017-06-14 18:00:00,2017-06-14 19:15:00,34271,34275,1261.521000,375,True,2017-08-09 12:15:00,3638,True,9,0,0,,True
666,bearish,1254.945500,1254.577000,2017-06-16 20:00:00,0.640393,2.240812,1253.678500,False,off_session,2017,2017-06-16 19:00:00,1254.613000,1254.945500,1254.577000,1254.801500,34459,2017-06-16 19:15:00,2017-06-16 20:00:00,34460,34462,1253.510500,377,True,2017-06-16 20:00:00,1,True,3,5,3,0.600000,False
667,bearish,1252.445000,1251.646500,2017-06-19 07:15:00,0.612357,3.519188,1251.198500,False,london,2017,2017-06-19 06:45:00,1251.749500,1252.445000,1251.646500,1252.351000,34502,2017-06-19 07:00:00,2017-06-19 07:15:00,34503,34503,1250.290000,378,True,2017-06-19 09:00:00,8,True,9,5,2,0.400000,False
668,bearish,1253.436000,1250.655000,2017-06-19 12:45:00,1.025643,4.779929,1249.316500,True,ny_overlap,2017,2017-06-19 12:00:00,1250.808500,1253.436000,1250.655000,1252.623000,34523,2017-06-19 12:15:00,2017-06-19 12:45:00,34524,34525,1248.533500,378,True,2017-06-19 13:00:00,2,True,1,5,5,1.000000,False
669,bullish,1245.515000,1245.196500,2017-06-20 06:00:00,0.432643,2.126465,1246.005500,False,asian,2017,2017-06-20 05:15:00,1245.413000,1245.515000,1245.196500,1245.218500,34588,2017-06-20 05:30:00,2017-06-20 06:00:00,34589,34590,1246.116500,379,True,2017-06-20 11:00:00,21,True,4,5,4,0.800000,False
670,bullish,1245.894000,1243.923000,2017-06-20 12:30:00,0.940786,4.521221,1247.753500,True,ny_overlap,2017,2017-06-20 11:30:00,1245.853000,1245.894000,1243.923000,1244.508000,34613,2017-06-20 11:45:00,2017-06-20 12:30:00,34614,34616,1248.176500,379,True,2017-06-20 12:30:00,1,False,,3,0,0.000000,True
671,bullish,1245.918500,1245.034500,2017-06-21 09:15:00,0.836929,2.473927,1246.977000,True,london,2017,2017-06-21 08:00:00,1245.595500,1245.918500,1245.034500,1245.243500,34691,2017-06-21 08:15:00,2017-06-21 09:15:00,34692,34695,1247.105000,380,True,2017-06-21 09:15:00,1,True,1,2,2,1.000000,True
672,bearish,1246.309000,1245.585000,2017-06-21 12:15:00,0.924500,2.104922,1244.856500,False,ny_overlap,2017,2017-06-21 11:30:00,1245.822000,1246.309000,1245.585000,1245.839500,34705,2017-06-21 11:45:00,2017-06-21 12:15:00,34706,34707,1244.363000,380,True,2017-06-21 14:30:00,10,True,4,5,0,0.000000,False
673,bullish,1245.695000,1244.646500,2017-06-21 19:15:00,0.789607,3.508074,1247.083500,True,off_session,2017,2017-06-21 17:15:00,1245.650000,1245.695000,1244.646500,1244.805000,34728,2017-06-21 17:30:00,2017-06-21 19:15:00,34729,34735,1247.416500,380,True,2017-06-21 20:15:00,5,True,2,1,0,0.000000,True
674,bullish,1252.915000,1252.346000,2017-06-22 06:00:00,0.702500,3.480427,1254.005000,True,asian,2017,2017-06-22 05:00:00,1252.785000,1252.915000,1252.346000,1252.541000,34771,2017-06-22 05:15:00,2017-06-22 06:00:00,34772,34774,1254.791000,381,True,2017-06-22 06:15:00,2,False,,0,0,,True
675,bearish,1253.190000,1252.450000,2017-06-22 08:30:00,0.887679,2.184912,1251.920000,True,london,2017,2017-06-22 07:45:00,1252.673500,1253.190000,1252.450000,1252.875000,34782,2017-06-22 08:00:00,2017-06-22 08:30:00,34783,34784,1251.250500,381,True,2017-06-22 08:45:00,2,True,4,5,5,1.000000,False
676,bearish,1251.335000,1250.423000,2017-06-22 17:30:00,1.070107,2.752528,1249.458500,True,off_session,2017,2017-06-22 16:45:00,1250.756500,1251.335000,1250.423000,1250.916500,34818,2017-06-22 17:00:00,2017-06-22 17:30:00,34819,34820,1248.389500,381,True,2017-06-22 19:15:00,8,False,,5,3,0.600000,False
677,bullish,1257.681000,1256.443500,2017-06-23 12:30:00,0.869679,2.136422,1258.031000,False,ny_overlap,2017,2017-06-23 12:00:00,1257.440500,1257.681000,1256.443500,1256.849000,34891,2017-06-23 12:15:00,2017-06-23 12:30:00,34892,34892,1258.301500,382,True,2017-06-23 12:45:00,2,False,,5,1,0.200000,False
678,bearish,1255.195500,1254.968500,2017-06-26 04:15:00,0.592964,2.395591,1254.736500,False,asian,2017,2017-06-26 03:30:00,1254.981000,1255.195500,1254.968500,1255.160000,34949,2017-06-26 03:45:00,2017-06-26 04:15:00,34950,34951,1253.775000,383,True,2017-06-26 06:45:00,11,True,1,5,4,0.800000,False
679,bearish,1254.476500,1253.894500,2017-06-26 08:15:00,1.796500,10.179237,1253.607000,True,london,2017,2017-06-26 07:15:00,1254.201500,1254.476500,1253.894500,1254.291500,34964,2017-06-26 07:30:00,2017-06-26 08:15:00,34965,34967,1236.189500,383,True,2017-06-28 08:00:00,184,True,4,5,5,1.000000,False
680,bullish,1244.157000,1243.450000,2017-06-26 17:30:00,1.214179,2.216725,1245.719000,True,off_session,2017,2017-06-26 16:15:00,1244.151500,1244.157000,1243.450000,1243.690500,35000,2017-06-26 16:30:00,2017-06-26 17:30:00,35001,35004,1246.141500,383,True,2017-06-26 18:15:00,4,False,,5,5,1.000000,False
681,bearish,1246.033500,1245.526500,2017-06-26 18:45:00,1.082286,3.378960,1242.696500,True,off_session,2017,2017-06-26 17:30:00,1245.714500,1246.033500,1245.526500,1245.775500,35005,2017-06-26 17:45:00,2017-06-26 18:45:00,35006,35009,1242.376500,383,True,2017-06-27 03:00:00,30,False,,5,0,0.000000,False
682,bullish,1251.638500,1249.926000,2017-06-28 08:15:00,1.101571,3.939826,1253.430500,True,london,2017,2017-06-28 07:00:00,1251.077500,1251.638500,1249.926000,1249.930000,35147,2017-06-28 07:15:00,2017-06-28 08:15:00,35148,35151,1254.266000,385,True,2017-06-28 09:15:00,5,True,4,3,3,1.000000,True
683,bullish,1253.950500,1252.321000,2017-06-28 12:30:00,1.153607,2.212625,1254.563500,False,ny_overlap,2017,2017-06-28 11:30:00,1253.634500,1253.950500,1252.321000,1252.524000,35165,2017-06-28 11:45:00,2017-06-28 12:30:00,35166,35168,1254.873500,385,True,2017-06-28 12:30:00,1,False,,5,1,0.200000,False
684,bearish,1252.395500,1251.151500,2017-06-28 13:45:00,1.477893,2.045141,1249.584000,False,ny_overlap,2017,2017-06-28 13:00:00,1251.850000,1252.395500,1251.151500,1252.167000,35171,2017-06-28 13:15:00,2017-06-28 13:45:00,35172,35173,1249.373000,385,True,2017-06-28 13:45:00,1,True,1,5,2,0.400000,False
685,bearish,1246.603500,1245.409000,2017-06-29 11:30:00,1.259000,2.454329,1244.038500,True,london,2017,2017-06-29 10:30:00,1245.599000,1246.603500,1245.409000,1246.466500,35253,2017-06-29 10:45:00,2017-06-29 11:30:00,35254,35256,1243.513500,386,True,2017-06-29 12:15:00,4,True,1,5,5,1.000000,False
686,bearish,1246.280000,1245.540000,2017-06-30 06:30:00,0.966393,3.113641,1243.919000,True,asian,2017,2017-06-30 05:15:00,1245.849500,1246.280000,1245.540000,1246.111000,35324,2017-06-30 05:30:00,2017-06-30 06:30:00,35325,35328,1243.271000,387,True,2017-07-20 14:30:00,1306,True,16,5,5,1.000000,False
687,bearish,1244.008500,1243.400000,2017-06-30 12:45:00,1.207464,3.830341,1242.053000,False,ny_overlap,2017,2017-06-30 12:00:00,1243.588500,1244.008500,1243.400000,1243.855000,35351,2017-06-30 12:15:00,2017-06-30 12:45:00,35352,35353,1239.383500,387,True,2017-06-30 14:00:00,6,True,12,5,5,1.000000,False
688,bullish,1242.475500,1240.831500,2017-06-30 14:15:00,1.622571,2.705582,1245.053500,False,ny_overlap,2017,2017-06-30 13:30:00,1241.701500,1242.475500,1240.831500,1241.577000,35357,2017-06-30 13:45:00,2017-06-30 14:15:00,35358,35359,1245.221500,387,True,2017-06-30 14:45:00,3,False,,5,0,0.000000,False
689,bearish,1222.278500,1221.754500,2017-07-03 20:45:00,0.971429,3.704338,1219.257500,False,off_session,2017,2017-07-03 20:15:00,1221.920000,1222.278500,1221.754500,1222.155000,35476,2017-07-03 20:30:00,2017-07-03 20:45:00,35477,35477,1218.680000,388,True,2017-07-03 22:00:00,2,False,,5,0,0.000000,False
690,bullish,1223.525500,1223.120000,2017-07-04 05:45:00,0.868786,3.723588,1225.366000,True,asian,2017,2017-07-04 04:45:00,1223.419500,1223.525500,1223.120000,1223.200000,35506,2017-07-04 05:00:00,2017-07-04 05:45:00,35507,35509,1226.355000,389,True,2017-07-04 13:30:00,32,False,,0,0,,True
691,bearish,1225.174000,1224.721000,2017-07-04 13:45:00,0.721107,3.294933,1223.783000,True,ny_overlap,2017,2017-07-04 12:45:00,1224.821500,1225.174000,1224.721000,1225.070000,35538,2017-07-04 13:00:00,2017-07-04 13:45:00,35539,35541,1222.798000,389,True,2017-07-04 22:15:00,16,False,,5,5,1.000000,False
692,bullish,1221.125000,1219.790000,2017-07-05 14:30:00,1.701500,2.733177,1223.321500,True,ny_overlap,2017,2017-07-05 13:45:00,1221.106500,1221.125000,1219.790000,1220.280000,35619,2017-07-05 14:00:00,2017-07-05 14:30:00,35620,35621,1224.440500,390,True,2017-07-05 15:00:00,3,True,2,5,0,0.000000,False
693,bullish,1222.678500,1221.505000,2017-07-05 18:15:00,1.265643,3.140696,1224.440500,True,off_session,2017,2017-07-05 17:15:00,1222.673000,1222.678500,1221.505000,1222.318000,35633,2017-07-05 17:30:00,2017-07-05 18:15:00,35634,35636,1225.480000,390,True,2017-07-05 18:15:00,1,True,3,5,5,1.000000,False
694,bearish,1225.195000,1224.425500,2017-07-06 07:45:00,0.874571,2.237667,1223.980000,True,london,2017,2017-07-06 06:45:00,1224.810500,1225.195000,1224.425500,1225.050000,35683,2017-07-06 07:00:00,2017-07-06 07:45:00,35684,35686,1223.238000,391,True,2017-07-06 08:00:00,2,True,13,5,5,1.000000,False
695,bearish,1224.649000,1223.752000,2017-07-06 11:45:00,0.910214,2.073688,1223.238000,False,london,2017,2017-07-06 10:30:00,1224.246500,1224.649000,1223.752000,1224.261000,35698,2017-07-06 10:45:00,2017-07-06 11:45:00,35699,35702,1222.761500,391,True,2017-07-06 11:45:00,1,False,,5,5,1.000000,False
696,bullish,1221.879000,1221.231000,2017-07-07 11:45:00,0.639643,4.049135,1222.636500,True,london,2017,2017-07-07 10:15:00,1221.842000,1221.879000,1221.231000,1221.260000,35789,2017-07-07 10:30:00,2017-07-07 11:45:00,35790,35794,1223.821000,392,True,2017-07-07 12:15:00,3,True,1,0,0,,True
697,bearish,1223.103500,1220.547000,2017-07-07 12:45:00,1.551464,3.333947,1219.924500,False,ny_overlap,2017,2017-07-07 12:15:00,1222.025500,1223.103500,1220.547000,1222.923000,35797,2017-07-07 12:30:00,2017-07-07 12:45:00,35798,35798,1217.931000,392,True,2017-07-07 12:45:00,1,True,1,5,0,0.000000,False
698,bearish,1211.609500,1210.772000,2017-07-10 06:15:00,0.691571,5.285788,1210.443500,False,asian,2017,2017-07-10 05:45:00,1211.075500,1211.609500,1210.772000,1211.185000,35863,2017-07-10 06:00:00,2017-07-10 06:15:00,35864,35864,1207.954000,393,True,2017-07-10 11:15:00,21,True,3,5,1,0.200000,False
699,bearish,1212.325500,1211.866500,2017-07-11 05:00:00,0.622679,2.787152,1211.230000,True,asian,2017,2017-07-11 03:15:00,1212.153500,1212.325500,1211.866500,1212.286000,35945,2017-07-11 03:30:00,2017-07-11 05:00:00,35946,35951,1210.590000,394,True,2017-07-11 06:00:00,5,True,4,5,4,0.800000,False
700,bearish,1210.894000,1210.388500,2017-07-11 10:45:00,0.805857,2.073569,1209.588500,True,london,2017,2017-07-11 10:00:00,1210.552000,1210.894000,1210.388500,1210.885500,35972,2017-07-11 10:15:00,2017-07-11 10:45:00,35973,35974,1209.223000,394,True,2017-07-11 10:45:00,1,True,14,5,5,1.000000,False
701,bearish,1212.768500,1211.880000,2017-07-11 14:30:00,1.110964,4.025332,1209.223000,True,ny_overlap,2017,2017-07-11 13:30:00,1212.120500,1212.768500,1211.880000,1212.273500,35986,2017-07-11 13:45:00,2017-07-11 14:30:00,35987,35989,1208.296500,394,True,2017-07-11 15:15:00,4,False,,5,5,1.000000,False
