breaker_id,source_ob_id,source_ob_direction,flipped_direction,zone_high,zone_low,ob_creation_time,break_candle_time,break_candle_index,break_close_price,frozen_atr,displacement_atr,separation_confirm_time,separation_confirm_index,retest_time,retest_index,expired,valid_retest,bars_ob_creation_to_break,bars_break_to_separation,bars_break_to_retest,session,year,segment_id
63,185,bullish,bearish,1213.559000,1211.230000,2016-05-31 05:30:00,2016-05-31 08:15:00,9655,1210.546000,1.086321,3.075517,2016-05-31 12:45:00,9673,2016-05-31 13:15:00,9675,False,True,11,18,20,london,2016,105
64,186,bearish,bullish,1213.278000,1212.401000,2016-05-31 07:30:00,2016-05-31 14:30:00,9680,1215.441000,1.308250,2.536212,2016-05-31 14:45:00,9681,2016-05-31 15:00:00,9682,False,True,28,1,2,ny_overlap,2016,105
65,187,bearish,bullish,1213.264500,1211.640500,2016-05-31 12:45:00,2016-05-31 14:30:00,9680,1215.441000,1.346857,3.573876,2016-05-31 14:45:00,9681,2016-05-31 15:00:00,9682,False,True,7,1,2,ny_overlap,2016,105
66,190,bullish,bearish,1216.551500,1215.850500,2016-06-01 11:30:00,2016-06-01 13:30:00,9768,1214.059500,0.874071,3.270900,2016-06-01 13:45:00,9769,,,True,False,8,1,,ny_overlap,2016,106
67,192,bullish,bearish,1216.283500,1215.046500,2016-06-02 12:15:00,2016-06-02 13:15:00,9859,1212.080000,1.060143,2.577483,2016-06-02 13:30:00,9860,,,True,False,4,1,,ny_overlap,2016,107
68,197,bearish,bullish,1262.679500,1261.770000,2016-06-09 07:15:00,2016-06-09 14:00:00,10322,1264.395000,1.091107,2.363196,2016-06-09 14:15:00,10323,,,True,False,27,1,,ny_overlap,2016,112
69,199,bearish,bullish,1267.924000,1267.335000,2016-06-10 05:15:00,2016-06-10 07:30:00,10388,1269.210000,0.959000,2.815433,2016-06-10 07:45:00,10389,2016-06-10 08:00:00,10390,False,True,9,1,2,london,2016,113
70,201,bullish,bearish,1281.285000,1280.154000,2016-06-13 09:15:00,2016-06-13 14:15:00,10507,1279.033500,2.000786,2.109671,,,,,True,False,20,,,ny_overlap,2016,114
71,202,bearish,bullish,1286.248500,1284.744500,2016-06-15 07:45:00,2016-06-15 18:15:00,10707,1290.990000,1.210786,3.373016,2016-06-15 18:30:00,10708,,,True,False,42,1,,off_session,2016,116
72,204,bullish,bearish,1312.640500,1308.765000,2016-06-16 14:30:00,2016-06-16 16:30:00,10792,1302.065500,2.736536,2.092061,2016-06-16 16:45:00,10793,,,True,False,8,1,,ny_overlap,2016,117
73,208,bearish,bullish,1284.215500,1282.800000,2016-06-20 11:00:00,2016-06-20 15:00:00,10970,1286.605000,2.188464,2.059435,2016-06-20 15:15:00,10971,2016-06-20 15:30:00,10972,False,True,16,1,2,ny_overlap,2016,119
74,212,bullish,bearish,1262.675000,1261.274000,2016-06-23 06:15:00,2016-06-23 10:45:00,11229,1259.120000,1.417607,5.418285,2016-06-23 11:00:00,11230,2016-06-23 11:45:00,11233,False,True,18,1,4,london,2016,122
75,215,bullish,bearish,1326.276500,1325.405500,2016-06-27 11:00:00,2016-06-27 13:30:00,11424,1323.959500,1.908286,2.772646,2016-06-27 15:15:00,11431,2016-06-27 17:45:00,11441,False,True,10,7,17,ny_overlap,2016,124
76,216,bearish,bullish,1327.198500,1324.379000,2016-06-27 15:45:00,2016-06-27 19:30:00,11448,1329.721000,3.157357,2.715562,,,,,True,False,15,,,off_session,2016,124
77,219,bullish,bearish,1319.281000,1318.830000,2016-06-29 06:00:00,2016-06-29 10:15:00,11595,1316.410000,1.321893,2.080350,2016-06-29 10:30:00,11596,2016-06-29 11:15:00,11599,False,True,17,1,4,london,2016,126
78,220,bullish,bearish,1320.820000,1319.450000,2016-06-29 14:45:00,2016-06-29 20:00:00,11634,1317.780000,2.797286,3.031868,2016-06-29 20:15:00,11635,2016-06-29 20:45:00,11637,False,True,21,1,3,off_session,2016,126
79,221,bearish,bullish,1316.555500,1315.420500,2016-06-30 03:45:00,2016-06-30 08:45:00,11681,1317.665000,1.182464,2.118880,2016-06-30 09:00:00,11682,2016-06-30 10:00:00,11686,False,True,20,1,5,london,2016,127
80,222,bearish,bullish,1316.326500,1315.065500,2016-06-30 07:15:00,2016-06-30 08:45:00,11681,1317.665000,1.213857,2.826115,2016-06-30 09:00:00,11682,2016-06-30 10:00:00,11686,False,True,6,1,5,london,2016,127
81,231,bullish,bearish,1372.175500,1370.659000,2016-07-06 10:30:00,2016-07-06 12:30:00,12048,1369.060000,2.069786,2.092246,2016-07-06 13:45:00,12053,2016-07-06 14:45:00,12057,False,True,8,5,9,ny_overlap,2016,131
