WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
all,B_breakout_edge_filter,atr_1x,1,20,prior_momentum,526,100.00%,73.38%,56.23%,17.15%,0.193144,0.088528,0.297760,0.57%,384,139,3,2.967637,0.124668,True
all,B_breakout_edge_filter,atr_1x,1,20,simple_follow,916,100.00%,74.24%,56.20%,18.04%,0.217806,0.140508,0.295104,0.44%,677,235,4,2.885412,0.123916,True
all,B_breakout_edge_filter,atr_1x,2,10,wyckoff_rsi,642,100.00%,55.45%,37.60%,17.85%,0.212601,0.075437,0.349765,9.35%,306,276,60,2.764875,0.128136,True
all,B_breakout_edge_filter,atr_1x,2,10,coin_flip,449,100.00%,54.34%,37.54%,16.80%,0.229042,0.066471,0.391614,8.91%,216,193,40,2.970774,0.126297,True
all,B_breakout_edge_filter,atr_1x,2,10,prior_momentum,526,100.00%,54.94%,37.49%,17.45%,0.220574,0.069847,0.371302,9.13%,252,226,48,2.967637,0.124668,True
all,B_breakout_edge_filter,atr_1x,2,10,simple_follow,916,100.00%,56.22%,37.46%,18.76%,0.258459,0.143825,0.373092,8.84%,451,384,81,2.885412,0.123916,True
all,B_breakout_edge_filter,atr_1x,2,20,wyckoff_rsi,642,100.00%,53.27%,37.60%,15.67%,0.184825,0.040064,0.329586,1.87%,333,297,12,2.764875,0.128136,True
all,B_breakout_edge_filter,atr_1x,2,20,coin_flip,449,100.00%,53.67%,37.54%,16.13%,0.230254,0.061345,0.399164,2.45%,234,204,11,2.970774,0.126297,True
all,B_breakout_edge_filter,atr_1x,2,20,prior_momentum,526,100.00%,53.42%,37.49%,15.93%,0.212203,0.053664,0.370743,1.71%,275,242,9,2.967637,0.124668,True
all,B_breakout_edge_filter,atr_1x,2,20,simple_follow,916,100.00%,54.59%,37.46%,17.12%,0.239595,0.119580,0.359609,2.18%,486,410,20,2.885412,0.123916,True
