ATR_LOOKAHEAD_FIX_CONTEXT
before_breakout_atr=old look-ahead mode: risk from breakout bar ATR14
after_compression_atr=correct live-matched mode: risk from compression-end bar ATR14
entry=range edge; stop=1R; targets=1/1.5/2R; force close=10/20 bars
symbol_context=XAUUSD,tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv,bars=246886,date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC,compression_events=2858,spread=0.2000
symbol_context=XAGUSD,tick_file=data/2026.6.28XAGUSD-TICK-No Session.csv,bars=247673,date_range=2016-01-03 23:00:00 to 2026-06-26 21:00:00 UTC,compression_events=2687,spread=0.0200

ATR_LOOKAHEAD_ALL
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
train_2016_2021,XAUUSD,after_compression_atr,rr_1_5,20,simple_follow,1717,0.417346,0.338743,0.495949,0.196632,0.117919,0.275345,65.35%,0.99%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,1117,583,17
train_2016_2021,XAUUSD,after_compression_atr,rr_1_5,20,random,1717,-0.636158,-0.735909,-0.536406,-0.856872,-0.956762,-0.756982,39.84%,0.99%,1.28%,1.153155,0.220714,False,False,baseline,baseline,680,1020,17
train_2016_2021,XAUUSD,after_compression_atr,rr_2,10,simple_follow,1717,0.468387,0.376581,0.560194,0.247673,0.155907,0.339440,58.12%,3.44%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,964,694,59
train_2016_2021,XAUUSD,after_compression_atr,rr_2,10,random,1717,-0.636587,-0.743163,-0.530011,-0.857301,-0.963970,-0.750633,34.60%,2.91%,1.28%,1.153155,0.220714,False,False,baseline,baseline,571,1096,50
train_2016_2021,XAUUSD,after_compression_atr,rr_2,20,simple_follow,1717,0.461815,0.369025,0.554606,0.241101,0.148366,0.333836,57.83%,1.34%,1.28%,1.153155,0.220714,True,True,C_confirmed,C_confirmed,985,709,23
train_2016_2021,XAUUSD,after_compression_atr,rr_2,20,random,1717,-0.647857,-0.755086,-0.540628,-0.868572,-0.975897,-0.761246,34.36%,1.28%,1.28%,1.153155,0.220714,False,False,baseline,baseline,584,1111,22

ATR_LOOKAHEAD_TEST_2022_2026
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
test_2022_2026,XAGUSD,before_breakout_atr,rr_1,10,simple_follow,1083,0.241662,0.171713,0.311611,-0.090947,-0.161565,-0.020330,68.98%,2.22%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,739,320,24
test_2022_2026,XAGUSD,before_breakout_atr,rr_1,10,random,1083,-0.365263,-0.449845,-0.280681,-0.697873,-0.783070,-0.612676,48.01%,2.22%,2.03%,0.116369,0.332610,False,False,baseline,baseline,514,545,24
test_2022_2026,XAGUSD,before_breakout_atr,rr_1,20,simple_follow,1083,0.237185,0.166852,0.307517,-0.095425,-0.166397,-0.024453,68.88%,1.11%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,744,327,12
test_2022_2026,XAGUSD,before_breakout_atr,rr_1,20,random,1083,-0.364657,-0.449504,-0.279809,-0.697266,-0.782711,-0.611822,48.48%,1.11%,2.03%,0.116369,0.332610,False,False,baseline,baseline,521,550,12
test_2022_2026,XAGUSD,before_breakout_atr,rr_1_5,10,simple_follow,1083,0.264316,0.176445,0.352187,-0.068294,-0.156821,0.020234,58.63%,5.45%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,600,424,59
